sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BTS-334050,121694,bts,SCHWARZKOPF,Schwarzkopf Ir 9-19 60ml Dfinlep,ean:4045787851441,4045787851441,4045787851441,4045787851441,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334044,121695,bts,SCHWARZKOPF,Schwarzkopf Ir 6-31 60ml Dfinlep,ean:4045787851489,4045787851489,4045787851489,4045787851489,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334099,121696,bts,SCHWARZKOPF,Schwarzkopf Bm Lift y Blend Biscuit 60ml Engfeptr,ean:4045787922288,4045787922288,4045787922288,4045787922288,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334098,121697,bts,SCHWARZKOPF,Schwarzkopf Bm Lift y Blend Ash 60ml Engfeptr,ean:4045787922363,4045787922363,4045787922363,4045787922363,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334101,121698,bts,SCHWARZKOPF,Schwarzkopf Bm Lift y Blend Ice 60ml Engfeptr,ean:4045787922448,4045787922448,4045787922448,4045787922448,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334102,121699,bts,SCHWARZKOPF,Schwarzkopf Bm Lift y Blend Ice-Irise 60ml Engfeptr,ean:4045787922486,4045787922486,4045787922486,4045787922486,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334103,121700,bts,SCHWARZKOPF,Schwarzkopf Bm Lift y Blend Sand 60ml Engfeptr,ean:4045787922523,4045787922523,4045787922523,4045787922523,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334109,121701,bts,SCHWARZKOPF,Schwarzkopf Bm Lifting Steel Bl 60 Engfeptr,ean:4045787922844,4045787922844,4045787922844,4045787922844,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334108,121702,bts,SCHWARZKOPF,Schwarzkopf Bm Lifting Sand 60 Engfeptr,ean:4045787922882,4045787922882,4045787922882,4045787922882,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334106,121703,bts,SCHWARZKOPF,Schwarzkopf Bm Lifting Ice 60 Engfeptr,ean:4045787922929,4045787922929,4045787922929,4045787922929,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334104,121704,bts,SCHWARZKOPF,Schwarzkopf Bm Lifting Ash 60ml Engftrep,ean:4045787922967,4045787922967,4045787922967,4045787922967,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334107,121705,bts,SCHWARZKOPF,Schwarzkopf Bm Lifting Ice-Ir 60ml Engftrep,ean:4045787924084,4045787924084,4045787924084,4045787924084,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334093,121706,bts,SCHWARZKOPF,Schwarzkopf Bm Bleach y Tone Violet 60 Engfeptr,ean:4045787924640,4045787924640,4045787924640,4045787924640,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334091,121707,bts,SCHWARZKOPF,Schwarzkopf Bm Bleach y Tone Ash 60 Engfeptr,ean:4045787924664,4045787924664,4045787924664,4045787924664,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334092,121708,bts,SCHWARZKOPF,Schwarzkopf Bm Bleach y Tone Matt 60 Engfeptr,ean:4045787926408,4045787926408,4045787926408,4045787926408,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-335415,121709,bts,SCHWARZKOPF,Schwarzkopf Osis Air Whip 200ml Engepsdknofinf,ean:4045787936254,4045787936254,4045787936254,4045787936254,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-335413,121710,bts,SCHWARZKOPF,Schwarzkopf Osis Velvet 200ml Engepsdknofinf,ean:4045787936377,4045787936377,4045787936377,4045787936377,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-351648,121711,bts,SCHWARZKOPF,Schwarzkopf Ira Sw Gris Lilácea 60ml,ean:4045787955538,4045787955538,4045787955538,4045787955538,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-351647,121712,bts,SCHWARZKOPF,Schwarzkopf Ira Sw Plata 60ml,ean:4045787955811,4045787955811,4045787955811,4045787955811,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-351646,121713,bts,SCHWARZKOPF,Schwarzkopf Ira Sw Gris Pizarra 60ml,ean:4045787955859,4045787955859,4045787955859,4045787955859,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
