export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181937,Arabiyat Prestige,Hypnotic Amber,Eau de Parfum,UNI,100 ml,6290102031956,6290102031956,13,"28,47",0,,brasty_dump,,,,in_stock/6290102031956.jpg
181938,Khadlaj,Desert Rose,Eau de Parfum,W,100 ml,6291107978956,6291107978956,8,"13,86",0,,brasty_dump,,,,in_stock/6291107978956.jpg
181940,Arabiyat Prestige,Lutfah The Seventh Heaven,Eau de Parfum,UNI,80 ml,6290361911990,6290361911990,8,"18,54",0,,no_image_anywhere,,,,
181943,Arabiyat Prestige,Aariz L'Absolu,Eau de Parfum,UNI,100 ml,6290361910900,6290361910900,10,"27,95",0,,brasty_dump,,,,in_stock/6290361910900.jpg
181944,Arabiyat Prestige,Malikat Al Hub,Eau de Parfum,UNI,100 ml,6290361910528,6290361910528,11,"11,11",0,,no_image_anywhere,,,,
181945,Arabiyat Prestige,Nyla Vani-Elle,Eau de Parfum,UNI,80 ml,6290361911563,6290361911563,16,"15,82",0,,override_url,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/6290361911563.webp,,,in_stock/6290361911563.jpg
181947,Grandeur,Tempt Pistacia,Eau de Parfum,UNI,100 ml,5055810042950,5055810042950,11,"9,27",0,,brasty_dump,,,,in_stock/5055810042950.jpg
181948,Grandeur,Tempt Blanc,Eau de Parfum,UNI,100 ml,5055810042974,5055810042974,20,"9,40",0,,brasty_dump,,,,in_stock/5055810042974.jpg
181949,Grandeur,Tempt Scarlet,Eau de Parfum,UNI,100 ml,5055810042943,5055810042943,12,"9,24",0,,no_image_anywhere,,,,
181950,Grandeur,Aquarious Oud,Eau de Parfum,UNI,100 ml,5055810098674,5055810098674,4,"11,03",0,,no_image_anywhere,,,,
181951,Khadlaj,Nafais Sharq,Eau de Parfum,UNI,100 ml,6298043070003,6298043070003,85,"22,24",0,,brasty_dump,,,,out_of_stock/6298043070003.jpg
181955,Arabiyat Prestige,Nyla,Eau de Parfum,W,80 ml,6290102040149,6290102040149,66,"16,59",0,,our_cdn_file,https://images.prinscosmetic.eu/6290102040149.jpg,6290102040149.jpg,,out_of_stock/6290102040149.jpg
181957,Arabiyat Prestige,Lutfah First Love,Eau de Parfum,W,80 ml,6290361911976,6290361911976,17,"17,73",0,,brasty_dump,,,,in_stock/6290361911976.jpg
181959,Khadlaj,Biscotti Date Toffee,Perfume Extract,UNI,100 ml,6291107979977,6291107979977,87,"12,37",0,,brasty_dump,,,,in_stock/6291107979977.jpg
181960,Al Wataniah,Lily,Eau de Parfum,UNI,100 ml,5055810098698,5055810098698,24,"11,29",0,,brasty_dump,,,,in_stock/5055810098698.jpg
181961,Al Wataniah,Baraa,Eau de Parfum,UNI,100 ml,5055810098681,5055810098681,44,"12,06",0,,brasty_dump,,,,in_stock/5055810098681.jpg
