sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BTS-361182,72978,bts,NYX,Nyx Fat Oil Slick Click Bálsamo Labial Brillante Hits Diferent 2g,ean:0800897249571,0800897249571,800897249571,800897249571,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356529,72980,bts,NYX,"Nyx Line Loud Lip Pencil Stick 29-No Equivalent 1,2ml",ean:0800897249977,0800897249977,800897249977,800897249977,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356530,72981,bts,NYX,"Nyx Line Loud Lip Pencil Stick 30-Leave A Legacy 1,2ml",ean:0800897249984,0800897249984,800897249984,800897249984,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356531,72982,bts,NYX,"Nyx Line Loud Lip Pencil Stick 31-Ten Out Of Ten 1,2ml",ean:0800897249991,0800897249991,800897249991,800897249991,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356532,72983,bts,NYX,"Nyx Line Loud Lip Pencil Stick 32-Sassy 1,2ml",ean:0800897250003,0800897250003,800897250003,800897250003,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356533,72984,bts,NYX,"Nyx Line Loud Lip Pencil Stick 33-Too Blessed 1,2ml",ean:0800897250010,0800897250010,800897250010,800897250010,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-361178,72986,bts,NYX,Nyx Fat Oil Slick Click Bálsamo Labial Brillante Thats Major 2g,ean:0800897250058,0800897250058,800897250058,800897250058,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356541,72989,bts,NYX,"Nyx Duck Plump Brillo De Labios Nude Swings 6,8ml",ean:0800897250256,0800897250256,800897250256,800897250256,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356543,72991,bts,NYX,"Nyx Duck Plump Brillo De Labios Brick Of Time 6,8ml",ean:0800897250294,0800897250294,800897250294,800897250294,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356544,72992,bts,NYX,"Nyx Duck Plump Brillo De Labios Mauve Out Of My Way 6,8ml",ean:0800897250317,0800897250317,800897250317,800897250317,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356546,72994,bts,NYX,"Nyx Duck Plump Brillo De Labios Pink Me Pink 6,8ml",ean:0800897250348,0800897250348,800897250348,800897250348,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-356549,72996,bts,NYX,"Nyx Duck Plump Brillo De Labios Cherry Spicy 6,8ml",ean:0800897253134,0800897253134,800897253134,800897253134,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-367019,72997,bts,NYX,Nyx Buttermelt Bronzer All Buttad Up 5g,ean:0800897254698,0800897254698,800897254698,800897254698,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-367021,72998,bts,NYX,Nyx Buttermelt Bronzer Butta Biscuit 5g,ean:0800897254711,0800897254711,800897254711,800897254711,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-415365,72999,bts,NYX,Nyx Epic Inky Stix Delineador De Ojos Milk Chocolate 1 U,ean:0800897255145,0800897255145,800897255145,800897255145,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-380027,73000,bts,NYX,Nyx Buttermelt Blush 01-My Butta Half 5g,ean:0800897257576,0800897257576,800897257576,800897257576,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-417853,73001,bts,NYX,Nyx Buttermelt Blush Butta Together 5g,ean:0800897257583,0800897257583,800897257583,800897257583,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
