sku,name,brand,vendor,vendor_product_id,primary_ean,extra_eans,lookup_ean,wp_post_id,slug,stock,vendor_image_url,identity_key
BTS-362020,Essence Cosmetics Brocha Para Colorete e Iluminador 1 U,ESSENCE COSMETICS,bts,362020,4059729447128,,4059729447128,89478,essence-cosmetics-brocha-para-colorete-e-iluminador-1-u-bts-362020,31,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729447128
BTS-381241,Essence Cosmetics Brocha Para Corrector 1 U,ESSENCE COSMETICS,bts,381241,4059729491374,,4059729491374,89569,essence-cosmetics-brocha-para-corrector-1-u-bts-381241,31,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729491374
BTS-362019,Essence Cosmetics Brocha Para Difuminar 01-Blending Is My Cardio 1 U,ESSENCE COSMETICS,bts,362019,4059729446473,,4059729446473,89461,essence-cosmetics-brocha-para-difuminar-01-blending-is-my-cardio-1-u-bts-362019,2,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729446473
BTS-362022,Essence Cosmetics Brocha Para Polvos 1 U,ESSENCE COSMETICS,bts,362022,4059729447098,,4059729447098,89475,essence-cosmetics-brocha-para-polvos-1-u-bts-362022,8,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729447098
BTS-362021,Essence Cosmetics Brocha Para Rostro 1 U,ESSENCE COSMETICS,bts,362021,4059729447081,,4059729447081,89474,essence-cosmetics-brocha-para-rostro-1-u-bts-362021,100,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729447081
BTS-414055,Essence Cosmetics Brocha Rostro Silicona Doble 1 U,ESSENCE COSMETICS,bts,414055,4059729584748,,4059729584748,89925,essence-cosmetics-brocha-rostro-silicona-doble-1-u-bts-414055,11,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584748
BTS-352944,Essence Cosmetics Brow Former Cejas 4 U,ESSENCE COSMETICS,bts,352944,4059729421487,,4059729421487,89428,essence-cosmetics-brow-former-cejas-4-u-bts-352944,13,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729421487
BTS-394789,Essence Cosmetics Brow Tweezer Pinzas Para Cejas 1 U,ESSENCE COSMETICS,bts,394789,4059729516794,,4059729516794,89672,essence-cosmetics-brow-tweezer-pinzas-para-cejas-1-u-bts-394789,20,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729516794
BTS-393659,Essence Cosmetics Brush It Like It's Art Brocha Para Cejas 01 1 U,ESSENCE COSMETICS,bts,393659,4059729512093,,4059729512093,89574,essence-cosmetics-brush-it-like-it-s-art-brocha-para-cejas-01-1-u-bts-393659,3,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729512093
BTS-393661,Essence Cosmetics Brush It Like It's Art Brocha Para Eyeliner 01 1 U,ESSENCE COSMETICS,bts,393661,4059729512116,,4059729512116,89575,essence-cosmetics-brush-it-like-it-s-art-brocha-para-eyeliner-01-1-u-bts-393661,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729512116
